,iv,treated,group_id_overall,outcome
809,1,1,262,0.477636
810,1,0,262,0.362473
811,1,1,262,0.470238
812,1,1,262,0.514604
813,1,1,262,0.416216
814,1,1,262,0.428349
815,1,0,262,0.422442
816,1,1,262,0.391509
817,1,1,262,0.359184
818,1,1,262,0.36748
819,1,0,262,0.540458
820,1,1,262,0.371223
821,1,1,262,0.401689
822,1,1,262,0.403955
823,1,1,262,0.395566
824,1,1,262,0.46055
825,1,1,262,0.459722
826,1,1,262,0.453552
827,1,1,262,0.444976
828,1,1,262,0.462089
829,1,1,262,0.466667
830,1,1,262,0.342857
831,1,1,262,0.399776
832,1,1,262,0.437819
833,1,1,262,0.361022
834,1,1,262,0.371257
835,0,0,262,0.445946
836,1,1,262,0.343015
837,1,0,262,0.447761
838,1,1,262,0.542138
839,1,1,262,0.41453
840,1,1,262,0.377143
841,1,1,262,0.393007
842,1,1,262,0.413605
843,1,1,262,0.337017
844,1,1,262,0.376344
845,1,1,262,0.322335
846,1,1,262,0.406818
847,1,0,262,0.441034
848,1,1,262,0.357911
849,0,0,262,0.391442
850,1,1,262,0.412844
851,1,1,262,0.385159
852,1,1,262,0.311111
853,1,1,262,0.25
854,1,1,262,0.389864
855,1,1,262,0.44358
856,1,1,262,0.341772
857,1,1,262,0.582849
858,1,1,262,0.406639
859,1,1,262,0.39548
860,1,1,262,0.276527
861,1,1,262,0.394387
862,1,1,262,0.420677
863,1,1,262,0.405192
864,0,0,262,0.406824
865,1,1,262,0.27037
866,1,1,262,0.336387
867,1,1,262,0.437037
868,1,1,263,0.338082
869,1,0,263,0.386943
870,1,0,263,0.394366
871,1,1,263,0.292308
872,1,1,263,0.364739
873,1,1,263,0.510791
874,1,1,263,0.35102
875,1,1,263,0.514739
876,1,1,263,0.247863
877,0,0,263,0.309322
878,1,1,263,0.421687
879,1,1,263,0.34069
880,1,0,263,0.399731
881,1,1,264,0.548561
882,1,1,264,0.455696
883,1,1,264,0.529412
884,1,1,264,0.546693
885,0,0,264,0.543909
886,1,1,264,0.549889
887,1,1,264,0.613583
888,1,1,264,0.390625
889,0,0,264,0.477551
890,0,0,265,0.156863
891,1,1,265,0.463746
892,0,0,266,0.301242
893,1,0,266,0.22069
894,0,0,266,0.263209
895,1,0,266,0.276596
896,1,0,266,0.224449
897,1,0,266,0.238806
898,1,0,266,0.243931
899,1,0,266,0.336963
900,1,0,266,0.315833
901,1,0,266,0.253
902,1,0,266,0.218925
903,1,0,266,0.229825
904,1,0,266,0.203252
905,1,0,266,0.187702
906,1,0,266,0.170732
907,0,0,266,0.219512
908,1,0,266,0.230522
909,1,1,266,0.273839
910,0,0,266,0.140909
911,1,0,266,0.260077
912,1,0,266,0.327083
913,1,0,266,0.219849
914,1,0,266,0.204362
915,1,0,266,0.183007
916,0,0,267,0.176271
917,1,0,267,0.336313
918,1,0,267,0.217514
919,1,0,267,0.205755
920,1,0,267,0.164062
921,1,0,268,0.365278
922,1,0,268,0.117385
923,0,0,268,0.204013
924,1,0,268,0.167135
925,1,0,268,0.229432
926,0,0,268,0.194444
927,1,0,268,0.26041
928,0,0,268,0.238041
929,1,1,268,0.262335
930,1,0,268,0.232143
931,1,0,268,0.18035
932,1,0,268,0.37457
933,1,0,268,0.268571
934,1,0,268,0.223893
935,1,0,268,0.278
936,1,0,268,0.356164
937,0,0,268,0.233613
938,1,0,268,0.197034
939,1,0,268,0.263374
940,1,0,268,0.183908
941,1,0,268,0.21438
942,1,0,268,0.179226
943,1,0,268,0.271783
944,1,0,268,0.351064
945,1,0,268,0.333636
946,1,0,268,0.297741
947,0,0,268,0.281395
948,1,0,268,0.262554
949,1,0,268,0.173028
950,1,0,268,0.228522
951,1,0,268,0.290484
952,0,0,268,0.180344
953,1,0,268,0.278064
954,1,0,269,0.245
955,1,0,269,0.283315
956,1,0,269,0.246119
957,1,0,269,0.203008
958,1,0,269,0.252778
959,1,0,269,0.193374
960,0,0,269,0.22449
961,1,0,269,0.206103
962,1,0,269,0.183486
963,1,0,269,0.341772
964,1,0,269,0.213583
965,1,0,269,0.23445
966,1,0,269,0.202574
967,1,0,270,0.28443
968,1,1,270,0.314286
969,1,0,270,0.198511
970,1,0,270,0.221311
971,1,0,270,0.309423
972,1,1,270,0.409594
973,1,0,270,0.267471
974,1,0,270,0.204429
975,1,0,270,0.348684
976,0,0,270,0.414051
977,1,0,270,0.204934
978,1,0,270,0.268258
979,1,0,270,0.282306
980,1,0,270,0.179245
981,0,0,270,0.263015
982,0,0,270,0.25
983,1,1,270,0.285669
